Name;Description;Group_of_People;Name_length;Description_length;desc_w/o_stopwords;name_w/o_stopwords;desc_plain;desc_token;desc_types;desc_TTR
Characters of the DC Extended Universe;"The DC Extended Universe (DCEU) is an American media franchise and shared universe centered on superhero films and other series starring various titular superheroes produced by DC Films, distributed by Warner Bros. Pictures, and based on characters that appear in American comic books published by DC Comics.  Despite numerous film series in the past on characters such as Superman, Batman, and Green Lantern, none of those film series were connected. The DCEU debuted in 2013 with Man of Steel, centered on Superman, and has grown to include other characters such as Batman, Wonder Woman, and several others included in this list. The shared universe, much like the original DC Universe in comic books, was established by crossing over common plot elements, settings, cast, and characters, and may cross over with separate timelines from other DC-licensed film series in the future in order to create a ""multiverse"".";Film People;38;917;"The DC Extended Universe (DCEU) American media franchise shared universe centered superhero films series starring various titular superheroes produced DC Films, distributed Warner Bros. Pictures, based characters appear American comic books published DC Comics. Despite numerous film series past characters Superman, Batman, Green Lantern, none film series connected. The DCEU debuted 2013 Man Steel, centered Superman, grown include characters Batman, Wonder Woman, several others included list. The shared universe, much like original DC Universe comic books, established crossing common plot elements, settings, cast, characters, may cross separate timelines DC-licensed film series future order create ""multiverse"".";Characters DC Extended Universe;"the dc extended universe dceu is an american media franchise and shared universe centered on superhero films and other series starring various titular superheroes produced by dc films distributed by warner bros pictures and based on characters that appear in american comic books published by dc comics  despite numerous film series in the past on characters such as superman batman and green lantern none of those film series were connected the dceu debuted in 2013 with man of steel centered on superman and has grown to include other characters such as batman wonder woman and several others included in this list the shared universe much like the original dc universe in comic books was established by crossing over common plot elements settings cast and characters and may cross over with separate timelines from other dc-licensed film series in the future in order to create a ""multiverse"" ";146;91;62.328767123287676
List of characters played by multiple actors in the same film;"This is a list of characters who have been played by multiple actors in the same film.  This does not include:

Stunt doubles/body doubles
Infants or very young children
Actors playing a younger/older version of a character in a brief flash-back/flash-forward (However, actors who play the same character at different ages for an extended portion of the movie may be included).
Large puppets or animatronic characters controlled by multiple performers
Characters with shape-shifting abilities who are almost always played by one actor except when using their abilities. (e.g. The T-1000 from Terminator 2: Judgment Day or Mystique from the X-Men films)  Exceptions may be made for characters for whom there is no one ""default"" actor.";Film People;61;733;"This list characters played multiple actors film. This include: Stunt doubles/body doubles Infants young children Actors playing younger/older version character brief flash-back/flash-forward (However, actors play character different ages extended portion movie may included). Large puppets animatronic characters controlled multiple performers Characters shape-shifting abilities almost always played one actor except using abilities. (e.g. The T-1000 Terminator 2: Judgment Day Mystique X-Men films) Exceptions may made characters one ""default"" actor.";List characters played multiple actors film;"this is a list of characters who have been played by multiple actors in the same film  this does not include 

stunt doubles/body doubles
infants or very young children
actors playing a younger/older version of a character in a brief flash-back/flash-forward however actors who play the same character at different ages for an extended portion of the movie may be included 
large puppets or animatronic characters controlled by multiple performers
characters with shape-shifting abilities who are almost always played by one actor except when using their abilities  e g the t-1000 from terminator 2 judgment day or mystique from the x-men films  exceptions may be made for characters for whom there is no one ""default"" actor ";116;81;69.82758620689656
List of Clueless characters;This is a list of characters in the original film version of Clueless and the subsequent television series of the same name. The original characters were created by Amy Heckerling, writer and director of the film.;Film People;27;213;This list characters original film version Clueless subsequent television series name. The original characters created Amy Heckerling, writer director film.;List Clueless characters;this is a list of characters in the original film version of clueless and the subsequent television series of the same name the original characters were created by amy heckerling writer and director of the film ;36;25;69.44444444444444
List of Die Hard characters;The characters in the Die Hard film series, including John McClane (played by Bruce Willis), are based on the 1979 novel Nothing Lasts Forever by Roderick Thorp.;Film People;27;161;The characters Die Hard film series, including John McClane (played Bruce Willis), based 1979 novel Nothing Lasts Forever Roderick Thorp.;List Die Hard characters;the characters in the die hard film series including john mcclane played by bruce willis  are based on the 1979 novel nothing lasts forever by roderick thorp ;27;24;88.88888888888889
List of The Expendables characters;This is a list of characters in The Expendables franchise.;Film People;34;58;This list characters The Expendables franchise.;List The Expendables characters;this is a list of characters in the expendables franchise ;10;10;100.0
List of Fantastic Beasts characters;This is a list of characters from the Fantastic Beasts films.;Film People;35;61;This list characters Fantastic Beasts films.;List Fantastic Beasts characters;this is a list of characters from the fantastic beasts films ;11;11;100.0
List of The Godfather characters;This is a list of characters from the film series The Godfather consisting of The Godfather (1972), The Godfather Part II (1974) and The Godfather Part III (1990), based on Mario Puzo's best-selling 1969 novel of the same name, as well as the book series The Godfather consisting of the original, Puzo's The Sicilian (1984), Mark Winegardner's The Godfather Returns (2004) and The Godfather's Revenge (2006), and Edward Falco's prequel novel The Family Corleone (2012). There are also three video games set within The Godfather universe were also created: The Godfather (1991), The Godfather (2006) and The Godfather II (2009).;Film People;32;627;This list characters film series The Godfather consisting The Godfather (1972), The Godfather Part II (1974) The Godfather Part III (1990), based Mario Puzo's best-selling 1969 novel name, well book series The Godfather consisting original, Puzo's The Sicilian (1984), Mark Winegardner's The Godfather Returns (2004) The Godfather's Revenge (2006), Edward Falco's prequel novel The Family Corleone (2012). There also three video games set within The Godfather universe also created: The Godfather (1991), The Godfather (2006) The Godfather II (2009).;List The Godfather characters;this is a list of characters from the film series the godfather consisting of the godfather 1972  the godfather part ii 1974 and the godfather part iii 1990  based on mario puzo s best-selling 1969 novel of the same name as well as the book series the godfather consisting of the original puzo s the sicilian 1984  mark winegardner s the godfather returns 2004 and the godfather s revenge 2006  and edward falco s prequel novel the family corleone 2012  there are also three video games set within the godfather universe were also created the godfather 1991  the godfather 2006 and the godfather ii 2009 ;105;60;57.14285714285714
List of Gran Torino characters;"The following is a list of significant characters who feature in the 2008 film Gran Torino, directed by Clint Eastwood.
Casting calls were held in Fresno, California, Detroit, Michigan, and Saint Paul, Minnesota, from which Eastwood selected ten Hmong American lead actors and supporting actors. Of them, only one was not a first time actor. Of the Hmong cast, five, including Bee Vang, one of the principal actors, were from the state of Minnesota. Ahney Her comes from Lansing, Michigan. The casting agency Pound & Mooney recruited thirty actors and over 500 extras. The firm recruited many Hmong actors from a Hmong soccer tournament in Macomb County, Michigan. Sandy Ci Moua, a Hmong actress based in the Minneapolis-St. Paul area, assisted with the film's casting of Hmong actors.One actor who auditioned praised how the casting avoided the typical Asian stereotypes in favor of authenticity, saying ""They could have walked down Hollywood and looked for some Korean, Chinese, whatever, Asian-American actors, and say, 'Hey, can we teach you a few Hmong (words),' like they do in other movies, just mimic the words. But no, they said, 'We want real Hmong-speaking actors.' Asian Americans, we can tell, 'That guy's not Chinese! That guy's not Korean!' So, stop trying to fool us.""";Film People;30;1284;"The following list significant characters feature 2008 film Gran Torino, directed Clint Eastwood. Casting calls held Fresno, California, Detroit, Michigan, Saint Paul, Minnesota, Eastwood selected ten Hmong American lead actors supporting actors. Of them, one first time actor. Of Hmong cast, five, including Bee Vang, one principal actors, state Minnesota. Ahney Her comes Lansing, Michigan. The casting agency Pound & Mooney recruited thirty actors 500 extras. The firm recruited many Hmong actors Hmong soccer tournament Macomb County, Michigan. Sandy Ci Moua, Hmong actress based Minneapolis-St. Paul area, assisted film's casting Hmong actors.One actor auditioned praised casting avoided typical Asian stereotypes favor authenticity, saying ""They could walked Hollywood looked Korean, Chinese, whatever, Asian-American actors, say, 'Hey, teach Hmong (words),' like movies, mimic words. But no, said, 'We want real Hmong-speaking actors.' Asian Americans, tell, 'That guy's Chinese! That guy's Korean!' So, stop trying fool us.""";List Gran Torino characters;"the following is a list of significant characters who feature in the 2008 film gran torino directed by clint eastwood 
casting calls were held in fresno california detroit michigan and saint paul minnesota from which eastwood selected ten hmong american lead actors and supporting actors of them only one was not a first time actor of the hmong cast five including bee vang one of the principal actors were from the state of minnesota ahney her comes from lansing michigan the casting agency pound  mooney recruited thirty actors and over 500 extras the firm recruited many hmong actors from a hmong soccer tournament in macomb county michigan sandy ci moua a hmong actress based in the minneapolis-st paul area assisted with the film s casting of hmong actors one actor who auditioned praised how the casting avoided the typical asian stereotypes in favor of authenticity saying ""they could have walked down hollywood and looked for some korean chinese whatever asian-american actors and say  hey can we teach you a few hmong words  like they do in other movies just mimic the words but no they said  we want real hmong-speaking actors  asian americans we can tell  that guy s not chinese that guy s not korean  so stop trying to fool us """;213;138;64.7887323943662
List of Highlander characters;This is a list of characters from the Highlander franchise.;Film People;29;59;This list characters Highlander franchise.;List Highlander characters;this is a list of characters from the highlander franchise ;10;10;100.0
List of Alfred Hitchcock cameo appearances;"English film director Alfred Hitchcock made cameo appearances in 40 of his 54 surviving major films (his second film, The Mountain Eagle, is lost). For the films in which he appeared, he would be seen for a brief moment in a non-speaking part as an extra, such as boarding a bus, crossing in front of a building, standing in an apartment across the courtyard, or even appearing in a newspaper photograph (as seen in the film Lifeboat, which otherwise provided no other opportunity for him to appear).
During the filming of The Lodger, Hitchcock later said his cameo came about at the last minute because the actor who was supposed to play the bit part of a telephone operator failed to show up, so Hitchcock filled in for him. This playful gesture became one of Hitchcock's trademark signatures; and fans would make a sport of trying to spot his cameos. As a recurring theme, he would carry a musical instrument – especially memorable was the double bass case that he wrestles onto the train at the beginning of Strangers on a Train. In his earliest appearances, he filled in as an obscure extra in crowds or walking through scenes in long camera shots. His later appearances became more prominent, such as when he turns to see Jane Wyman's disguise as she passes him in Stage Fright, and in stark silhouette in his final film Family Plot.
His appearances became so popular that he began to make them earlier in his films so as not to distract the audience from the plot. Hitchcock confirms this in extended interviews with François Truffaut, and indeed the majority of his appearances occur within the first half-hour of his films, with over half in the first 15 minutes. 
Hitchcock's longest cameo appearances are in his British films Blackmail and Young and Innocent. He appears in all 30 features from Rebecca (his first American film) onward; before his move to Hollywood, he only occasionally performed cameos.";Film People;42;1916;"English film director Alfred Hitchcock made cameo appearances 40 54 surviving major films (his second film, The Mountain Eagle, lost). For films appeared, would seen brief moment non-speaking part extra, boarding bus, crossing front building, standing apartment across courtyard, even appearing newspaper photograph (as seen film Lifeboat, otherwise provided opportunity appear). During filming The Lodger, Hitchcock later said cameo came last minute actor supposed play bit part telephone operator failed show up, Hitchcock filled him. This playful gesture became one Hitchcock's trademark signatures; fans would make sport trying spot cameos. As recurring theme, would carry musical instrument – especially memorable double bass case wrestles onto train beginning Strangers Train. In earliest appearances, filled obscure extra crowds walking scenes long camera shots. His later appearances became prominent, turns see Jane Wyman's disguise passes Stage Fright, stark silhouette final film Family Plot. His appearances became popular began make earlier films distract audience plot. Hitchcock confirms extended interviews François Truffaut, indeed majority appearances occur within first half-hour films, half first 15 minutes. Hitchcock's longest cameo appearances British films Blackmail Young Innocent. He appears 30 features Rebecca (his first American film) onward; move Hollywood, occasionally performed cameos.";List Alfred Hitchcock cameo appearances;"english film director alfred hitchcock made cameo appearances in 40 of his 54 surviving major films his second film the mountain eagle is lost  for the films in which he appeared he would be seen for a brief moment in a non-speaking part as an extra such as boarding a bus crossing in front of a building standing in an apartment across the courtyard or even appearing in a newspaper photograph as seen in the film lifeboat which otherwise provided no other opportunity for him to appear 
during the filming of the lodger hitchcock later said his cameo came about at the last minute because the actor who was supposed to play the bit part of a telephone operator failed to show up so hitchcock filled in for him this playful gesture became one of hitchcock s trademark signatures and fans would make a sport of trying to spot his cameos as a recurring theme he would carry a musical instrument – especially memorable was the double bass case that he wrestles onto the train at the beginning of strangers on a train in his earliest appearances he filled in as an obscure extra in crowds or walking through scenes in long camera shots his later appearances became more prominent such as when he turns to see jane wyman s disguise as she passes him in stage fright and in stark silhouette in his final film family plot 
his appearances became so popular that he began to make them earlier in his films so as not to distract the audience from the plot hitchcock confirms this in extended interviews with françois truffaut and indeed the majority of his appearances occur within the first half-hour of his films with over half in the first 15 minutes 
hitchcock s longest cameo appearances are in his british films blackmail and young and innocent he appears in all 30 features from rebecca his first american film onward before his move to hollywood he only occasionally performed cameos ";333;187;56.15615615615616
List of original characters in The Hobbit film series;This is a list of original characters found in Peter Jackson's series of film adaptations of J. R. R. Tolkien's 1937 novel The Hobbit.;Film People;53;134;This list original characters found Peter Jackson's series film adaptations J. R. R. Tolkien's 1937 novel The Hobbit.;List original characters The Hobbit film series;this is a list of original characters found in peter jackson s series of film adaptations of j r r tolkien s 1937 novel the hobbit ;26;22;84.61538461538461
List of The Hunger Games characters;The following is a list of characters in The Hunger Games novels, a series of young adult science fiction novels by Suzanne Collins whose original trilogy was later adapted into a series of four feature films. The actors who portray these characters are given in List of The Hunger Games cast members.;Film People;35;301;The following list characters The Hunger Games novels, series young adult science fiction novels Suzanne Collins whose original trilogy later adapted series four feature films. The actors portray characters given List The Hunger Games cast members.;List The Hunger Games characters;the following is a list of characters in the hunger games novels a series of young adult science fiction novels by suzanne collins whose original trilogy was later adapted into a series of four feature films the actors who portray these characters are given in list of the hunger games cast members ;52;37;71.15384615384616
List of Indiana Jones characters;This is a list of characters in the Indiana Jones series.;Film People;32;57;This list characters Indiana Jones series.;List Indiana Jones characters;this is a list of characters in the indiana jones series ;11;11;100.0
List of The Jungle Book characters;This is a list of characters that appear in Rudyard Kipling's 1894 The Jungle Book story collection, its 1895 sequel The Second Jungle Book, and the various film adaptations based on those books. Characters include both human and talking animal characters.;Film People;34;256;This list characters appear Rudyard Kipling's 1894 The Jungle Book story collection, 1895 sequel The Second Jungle Book, various film adaptations based books. Characters include human talking animal characters.;List The Jungle Book characters;this is a list of characters that appear in rudyard kipling s 1894 the jungle book story collection its 1895 sequel the second jungle book and the various film adaptations based on those books characters include both human and talking animal characters ;42;35;83.33333333333334
List of Jurassic Park characters;"The following is a list of fictional characters from Michael Crichton's 1990 novel Jurassic Park, its 1995 sequel The Lost World, and their film adaptations, Jurassic Park (1993) and The Lost World: Jurassic Park (1997). Also included are characters from the sequel films Jurassic Park III, Jurassic World, Jurassic World: Fallen Kingdom, Jurassic World Dominion, and the short film Battle at Big Rock. These films are not adaptations and have no original source novels but contain some characters and events based on the fictional universe of Crichton's novels. Some cast members from the films have also reprised their roles in certain video games.
The original novel introduces several characters who would appear throughout the film series, including Dr. Alan Grant, Dr. Ellie Sattler, Dr. Ian Malcolm, John Hammond, and Dr. Henry Wu. Jurassic World introduces Owen Grady and Claire Dearing, who are the lead characters of the Jurassic World trilogy.";Film People;32;954;The following list fictional characters Michael Crichton's 1990 novel Jurassic Park, 1995 sequel The Lost World, film adaptations, Jurassic Park (1993) The Lost World: Jurassic Park (1997). Also included characters sequel films Jurassic Park III, Jurassic World, Jurassic World: Fallen Kingdom, Jurassic World Dominion, short film Battle Big Rock. These films adaptations original source novels contain characters events based fictional universe Crichton's novels. Some cast members films also reprised roles certain video games. The original novel introduces several characters would appear throughout film series, including Dr. Alan Grant, Dr. Ellie Sattler, Dr. Ian Malcolm, John Hammond, Dr. Henry Wu. Jurassic World introduces Owen Grady Claire Dearing, lead characters Jurassic World trilogy.;List Jurassic Park characters;"the following is a list of fictional characters from michael crichton s 1990 novel jurassic park its 1995 sequel the lost world and their film adaptations jurassic park 1993 and the lost world jurassic park 1997  also included are characters from the sequel films jurassic park iii jurassic world jurassic world fallen kingdom jurassic world dominion and the short film battle at big rock these films are not adaptations and have no original source novels but contain some characters and events based on the fictional universe of crichton s novels some cast members from the films have also reprised their roles in certain video games 
the original novel introduces several characters who would appear throughout the film series including dr alan grant dr ellie sattler dr ian malcolm john hammond and dr henry wu jurassic world introduces owen grady and claire dearing who are the lead characters of the jurassic world trilogy ";152;87;57.23684210526315
List of The Karate Kid and Cobra Kai characters;"This list of The Karate Kid and Cobra Kai characters reflects fictional characters from The Karate Kid franchise. Josh Heald, Jon Hurwitz, and Hayden Schlossberg define the following works as part of the Miyagi-Verse: The Karate Kid (1984), The Karate Kid Part II (1986), The Karate Kid Part III (1989), The Next Karate Kid (1994), and the Cobra Kai television series (2018–present). However, they state that the 2010 remake exists in an alternate universe. In addition, Jon Hurwitz clarified that the ""Karate Kid cartoon is not canon. But there is an Easter Egg from it in Season 3,"" in response to the question as to whether, ""The Karate Kid animated series  [is]  official within The Karate Kid universe?""";Film People;47;708;"This list The Karate Kid Cobra Kai characters reflects fictional characters The Karate Kid franchise. Josh Heald, Jon Hurwitz, Hayden Schlossberg define following works part Miyagi-Verse: The Karate Kid (1984), The Karate Kid Part II (1986), The Karate Kid Part III (1989), The Next Karate Kid (1994), Cobra Kai television series (2018–present). However, state 2010 remake exists alternate universe. In addition, Jon Hurwitz clarified ""Karate Kid cartoon canon. But Easter Egg Season 3,"" response question whether, ""The Karate Kid animated series [is] official within The Karate Kid universe?""";List The Karate Kid Cobra Kai characters;"this list of the karate kid and cobra kai characters reflects fictional characters from the karate kid franchise josh heald jon hurwitz and hayden schlossberg define the following works as part of the miyagi-verse the karate kid 1984  the karate kid part ii 1986  the karate kid part iii 1989  the next karate kid 1994  and the cobra kai television series 2018–present  however they state that the 2010 remake exists in an alternate universe in addition jon hurwitz clarified that the ""karate kid cartoon is not canon but there is an easter egg from it in season 3 "" in response to the question as to whether ""the karate kid animated series [is] official within the karate kid universe """;120;71;59.166666666666664
